Data Import Template,,,,,,,,,,,,,
Table:,Customer,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,
,,,,,,,,,,,,,
DocType:,Customer,,,,~,Allowed To Transact With,companies,~,Party Account,accounts,~,Sales Team,sales_team
Column Labels:,Full Name,Type,Customer Group,Territory,,Company,,,Company,Account,,Sales Person,
Column Name:,customer_name,customer_type,customer_group,territory,~,company,~,~,company,account,~,sales_person,~
Mandatory:,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,
Type:,Data,Select,Link,Link,,Link,,,Link,Link,,Link,
Info:,,"One of: Company, Individual",Valid Customer Group,Valid Territory,,Valid Company,,,Valid Company,Valid Account,,Valid Sales Person,
Start entering data below this line,,,,,,,,,,,,,
,PARKSONS PACKAGING LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,POKHARKAR ENGINEERING PRODUCTS PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,PRADEEP LAMINATORS PVT. LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,PRADEEP POLYFEX PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,PRECISION ENGINEERING INUSTRIES,Company,Commercial,MAHARASHTRA,,,,,,,,,
,PREMIER SEALS (INDIA) PVT LTD - 20/8 CHINCHWAD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,PREMIER SEALS (INDIA) PVT LTD - CHAKAN,Company,Commercial,MAHARASHTRA,,,,,,,,,
,PREMIER SEALS (INDIA) PVT LTD - KURULI,Company,Commercial,MAHARASHTRA,,,,,,,,,
,RELIABLE AUTOTECH PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,RITUROSH CREATIVE WORKS PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ROSSINI INDIA PRINTING ROLLERS PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,S. R. AUTO PARTS,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SAINT GOBAIN INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SAINT GOBAIN SENKURIT INDIA LTD BHOSARI,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SAMARTH FOAM PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SANSERA ENGINEERING PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SENTINEL MANUFACTURING INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SHANKEHSHWARA FOOD PRODUCT PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SHIVANI LOCKS PVT.LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SHRINIWAS ENGINEERING AUTO COMPONENTS PVT LTD - NAVLAKH UMBRE,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SPECIAL TOOLS PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SPECTRUM ELECTROPLATER,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SUN PHARMACEUTICAL INDUSTRIES LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SURESH PRESS WORKS.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,SUSHIL INDUSTRIES,Company,Commercial,MAHARASHTRA,,,,,,,,,
,TRANSPORT SOLUTIONS (I) PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,TREND TECHNOLOGIES INDIA PUNE PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,TRISTONE FLOWTECH GROUP,Company,Commercial,MAHARASHTRA,,,,,,,,,
,TRP SEALING SYSTEMS (INDIA) PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,UNIKLINGER LIMITED - A. NAGAR,Company,Commercial,MAHARASHTRA,,,,,,,,,
,UNIKLINGER LIMITED - K. BHIMA,Company,Commercial,MAHARASHTRA,,,,,,,,,
,UNIKLINGER LIMITED - SANASWADI,Company,Commercial,MAHARASHTRA,,,,,,,,,
,UNITED CRANE COMPONENTS PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,UNITHERM ENGINEERS LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,UNIVERSAL CALIBRATION SERVICES PVT. LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,VARROC ENGINEERING PVT LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,VARROC LIGHTING SYSTEMS (INDIA) PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,VOSS AUTOMOTIVE INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,WESTERN HEAT AND FORGE PVT LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,WHEELS INDIA LIMITED - R. GAON,Company,Commercial,MAHARASHTRA,,,,,,,,,
,WILLIAMS CONTROLS INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,WORDWIDE OILFIELD MACHINES PVT. LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,XPRO INDIA LTD - SECURITY,Company,Commercial,MAHARASHTRA,,,,,,,,,
,YAZAKI INDIA LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
